value_en	description_en	codesystem	code	description_code
KAPA Library Quantification Kit (ABI Prism) by Roche	KAPA Library Quantification Kit (ABI Prism) by Roche	biocompare.com	na	biocompare.com, May 2020
ClaSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific	ClaSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
Bisulfite-Seq High Sensitivity Kit (For Illumina) by Abcam	Bisulfite-Seq High Sensitivity Kit (For Illumina) by Abcam	biocompare.com	na	biocompare.com, May 2020
ChIP-Seq High Sensitivity Kit by Abcam	ChIP-Seq High Sensitivity Kit by Abcam	biocompare.com	na	biocompare.com, May 2020
RhinoSeq DNA Library Preparation Kit by SeqOnce Biosciences	RhinoSeq DNA Library Preparation Kit by SeqOnce Biosciences	biocompare.com	na	biocompare.com, May 2020
ClearSeq AML, HS, ILM, 16 by Agilent Technologies	ClearSeq AML, HS, ILM, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
ClearSeq AML, HS, ILM, 96 by Agilent Technologies	ClearSeq AML, HS, ILM, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
Wizard MagneSil Sequencing Reaction Clean-Up System by Promega	Wizard MagneSil Sequencing Reaction Clean-Up System by Promega	biocompare.com	na	biocompare.com, May 2020
NucleoMag NGS Clean-up and Size Select by MACHEREY-NAGEL	NucleoMag NGS Clean-up and Size Select by MACHEREY-NAGEL	biocompare.com	na	biocompare.com, May 2020
NucleoSEQ by MACHEREY-NAGEL	NucleoSEQ by MACHEREY-NAGEL	biocompare.com	na	biocompare.com, May 2020
SeqCap RNA Choice Enrichment Kit by Roche NimbleGen	SeqCap RNA Choice Enrichment Kit by Roche NimbleGen	biocompare.com	na	biocompare.com, May 2020
SeqCap RNA Choice XL Enrichment Kit by Roche NimbleGen	SeqCap RNA Choice XL Enrichment Kit by Roche NimbleGen	biocompare.com	na	biocompare.com, May 2020
Twist Fast Hybridization and Wash Kit by Twist Bioscience	Twist Fast Hybridization and Wash Kit by Twist Bioscience	biocompare.com	na	biocompare.com, May 2020
GeneJET NGS Cleanup Kit by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
GeneJET NGS Cleanup Kit (165 mL) by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit (165 mL) by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
GeneJET NGS Cleanup Kit (40 mL) by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit (40 mL) by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
GeneJET NGS Cleanup Kit (44 mL) by Thermo Fisher Scientific	GeneJET NGS Cleanup Kit (44 mL) by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
MagJET NGS Cleanup and Size Selection Kit by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
MagJET NGS Cleanup and Size Selection Kit (1 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (1 x 96 preps) by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
MagJET NGS Cleanup and Size Selection Kit (4 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (4 x 96 preps) by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
MuSeek Barcode Set 1, Ion Torrent compatible by Thermo Fisher Scientific	MuSeek Barcode Set 1, Ion Torrent compatible by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
MuSeek Index Set 1, Illumina compatible by Thermo Fisher Scientific	MuSeek Index Set 1, Illumina compatible by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
MuSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific	MuSeek Library Preparation Kit, Illumina compatible by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
RiboMinus Eukaryote Kit for RNA-Seq by Thermo Fisher Scientific	RiboMinus Eukaryote Kit for RNA-Seq by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
RiboMinus Plant Kit for RNA-Seq by Thermo Fisher Scientific	RiboMinus Plant Kit for RNA-Seq by Thermo Fisher Scientific	biocompare.com	na	biocompare.com, May 2020
EpiTect 96 Bisulfite Kit (2) by QIAGEN - Sample to Insight	EpiTect 96 Bisulfite Kit (2) by QIAGEN - Sample to Insight	biocompare.com	na	biocompare.com, May 2020
EpiTect Bisulfite Kit (48) by QIAGEN - Sample to Insight	EpiTect Bisulfite Kit (48) by QIAGEN - Sample to Insight	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 HumanAllExon V5+UTRs, 96 by Agilent Technologies	SureSelectXT2 HumanAllExon V5+UTRs, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 HumanAllExon V5, 16 by Agilent Technologies	SureSelectXT2 HumanAllExon V5, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 HumanAllExon V5, 96 by Agilent Technologies	SureSelectXT2 HumanAllExon V5, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Mouse All Exon library, pr by Agilent Technologies	SureSelectXT2 Mouse All Exon library, pr by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Mouse All Exon, 16 by Agilent Technologies	SureSelectXT2 Mouse All Exon, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Mouse All Exon, 96 by Agilent Technologies	SureSelectXT2 Mouse All Exon, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent Kit, HSQ,480,Auto by Agilent Technologies	SureSelectXT2 Reagent Kit, HSQ,480,Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent Kit, MSQ,480,Auto by Agilent Technologies	SureSelectXT2 Reagent Kit, MSQ,480,Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent kit for up to 480  by Agilent Technologies	SureSelectXT2 Reagent kit for up to 480  by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent kit, HSQ, 16 by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent kit, HSQ, 96 by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 96,Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent kit, MSQ, 16 by Agilent Technologies	SureSelectXT2 Reagent kit, MSQ, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent kit, MSQ, 96 by Agilent Technologies	SureSelectXT2 Reagent kit, MSQ, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Reagent kit, MSQ, 96,Auto by Agilent Technologies	SureSelectXT2 Reagent kit, MSQ, 96,Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 3-5.9Mb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 3-5.9Mb, 96, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 3-5.9Mb,480,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 3-5.9Mb,480,Auto,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 16 by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 16, RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 16, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 480 by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 480 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 480, Auto by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 480, Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 480, RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 480, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 96 by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 96, Auto by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 96, Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb, 96, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 6-11.9Mb,96,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 6-11.9Mb,96,Auto,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom0.5-2.9Mb,480,Aut,RO by Agilent Technologies	SureSelectXT2 Custom0.5-2.9Mb,480,Aut,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom0.5-2.9Mb,96,Auto,RO by Agilent Technologies	SureSelectXT2 Custom0.5-2.9Mb,96,Auto,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom3-5.9Mb, 96, Aut, RO by Agilent Technologies	SureSelectXT2 Custom3-5.9Mb, 96, Aut, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom6-11.9Mb,480,Auto,RO by Agilent Technologies	SureSelectXT2 Custom6-11.9Mb,480,Auto,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
