value_en	description_en	codesystem	code	description_code
Leidsche Rijn Gezondheid Study Biobank	Leidsche Rijn Gezondheid Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFROFN6ACQK2ME25QAAM	Leidsche Rijn Gezondheid Study Biobank
Lifelines Biobank	Lifelines Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAWTUFCACQK2ME25QAAM	Lifelines Biobank
Lipidpoli Biobank	Lipidpoli Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPLAX4VSACQK2ME25QAAI	Lipidpoli Biobank
LUMINA Biobank	LUMINA Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFXCFPSACQK2ME25QAAI	LUMINA Biobank
MeninGene Biobank	MeninGene Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACW7MF7WRMACQK2MD37AAAE	MeninGene Biobank
MINDACT Biobank	MINDACT Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKTOQW6ACQK2ME25QAAE	MINDACT Biobank
Myopia Study Biobank	Myopia Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJYFQTKACQK2ME25QAAE	Myopia Study Biobank
National Twin Registry and Netherlands Study of Depression and Anxiety Biobank	National Twin Registry and Netherlands Study of Depression and Anxiety Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAVQE52ACQK2ME25QAAE	National Twin Registry and Netherlands Study of Depression and Anxiety Biobank
NELSON Biobank	NELSON Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKSH53MACQK2ME25QAAE	NELSON Biobank
NEO Study Biobank	NEO Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKCIJ6KACQK2ME25QAAE	NEO Study Biobank
NESCOG Biobank	NESCOG Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKGLJLKACQK2ME25QAAE	NESCOG Biobank
Netherlands Brain Bank	Netherlands Brain Bank	bbmri-eric	bbmri-eric:ID:NL_AAAACXAVZYY2YACQK2MD37AAAE	Netherlands Brain Bank
Netherlands Study Depression and Anxiety Biobank	Netherlands Study Depression and Anxiety Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAVYJOOACQK2ME25QAAE	Netherlands Study Depression and Anxiety Biobank
Netherlands Twin Register Biobank	Netherlands Twin Register Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKDOM6AACQK2ME25QAAE	Netherlands Twin Register Biobank
NeuroUnit Biomarkers for Inflammation and Neurodegeneration	NeuroUnit Biomarkers for Inflammation and Neurodegeneration	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAJZC52ACQK2ME25QAAE	NeuroUnit Biomarkers for Inflammation and Neurodegeneration
New Hoorn Study Biobank	New Hoorn Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPF4VZU4ACQK2ME25QAAM	New Hoorn Study Biobank
NL Perinatal Screening Biobank	NL Perinatal Screening Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPF3FZEAACQK2ME25QAAM	NL Perinatal Screening Biobank
NOAC Biobank	NOAC Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACYWZIFEXYACQK2MDM4QAAM	NOAC Biobank
Obesity Center CGG biobank	Obesity Center CGG biobank	bbmri-eric	bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaam	Obesity Center CGG biobank
