value_en	description_en	codesystem	code	description_code
St. Kitts and Nevis 	St. Kitts and Nevis 	snomedCT	SNOMEDCT:315528008	Residing in St. Kitts and Nevis (finding)
Uzbekistan 	Uzbekistan 	snomedCT	SNOMEDCT:315555004	Residing in Uzbekistan (finding)
Tanzania 	Tanzania 	snomedCT	SNOMEDCT:315539006	Residing in Tanzania (finding)
Kuwait 	Kuwait 	snomedCT	SNOMEDCT:315459008	Residing in Kuwait (finding)
New Zealand 	New Zealand 	snomedCT	SNOMEDCT:315488009	Residing in New Zealand (finding)
British Guyana 	British Guyana 	snomedCT	SNOMEDCT:315390006	Residing in British Guyana (finding)
Ecuador 	Ecuador 	snomedCT	SNOMEDCT:315418002	Residing in Ecuador (finding)
Albania 	Albania 	snomedCT	SNOMEDCT:315366005	Residing in Albania (finding)
San Marino 	San Marino 	snomedCT	SNOMEDCT:315512003	Residing in San Marino (finding)
Equatorial Guinea 	Equatorial Guinea 	snomedCT	SNOMEDCT:315422007	Residing in Equatorial Guinea (finding)
Northern Ireland 	Northern Ireland 	snomedCT	SNOMEDCT:315493007	Residing in Northern Ireland (finding)
Democratic People's Republic of Korea 	Democratic People's Republic of Korea 	snomedCT	SNOMEDCT:315413006	Residing in Democratic People's Republic of Korea (finding)
Singapore 	Singapore 	snomedCT	SNOMEDCT:315519007	Residing in Singapore (finding)
Liberia 	Liberia 	snomedCT	SNOMEDCT:315465008	Residing in Liberia (finding)
Wales 	Wales 	snomedCT	SNOMEDCT:315560000	Residing in Wales (finding)
Burundi 	Burundi 	snomedCT	SNOMEDCT:315395001	Residing in Burundi (finding)
Oman 	Oman 	snomedCT	SNOMEDCT:315495000	Residing in Oman (finding)
Rwanda 	Rwanda 	snomedCT	SNOMEDCT:315511005	Residing in Rwanda (finding)
Belorussia 	Belorussia 	snomedCT	SNOMEDCT:315383001	Residing in Belorussia (finding)
Puerto Rico 	Puerto Rico 	snomedCT	SNOMEDCT:315505007	Residing in Puerto Rico (finding)
Fiji 	Fiji 	snomedCT	SNOMEDCT:315425009	Residing in Fiji (finding)
Kiribati 	Kiribati 	snomedCT	SNOMEDCT:315457005	Residing in Kiribati (finding)
Turkey 	Turkey 	snomedCT	SNOMEDCT:315547006	Residing in Turkey (finding)
Senegal 	Senegal 	snomedCT	SNOMEDCT:315516000	Residing in Senegal (finding)
Guinea Bissau 	Guinea Bissau 	snomedCT	SNOMEDCT:315436002	Residing in Guinea Bissau (finding)
Austria 	Austria 	snomedCT	SNOMEDCT:315375007	Residing in Austria (finding)
Mozambique 	Mozambique 	snomedCT	SNOMEDCT:315484006	Residing in Mozambique (finding)
Chad 	Chad 	snomedCT	SNOMEDCT:315401001	Residing in Chad (finding)
Armenia 	Armenia 	snomedCT	SNOMEDCT:315373000	Residing in Armenia (finding)
Botswana 	Botswana 	snomedCT	SNOMEDCT:315388005	Residing in Botswana (finding)
Bulgaria 	Bulgaria 	snomedCT	SNOMEDCT:315392003	Residing in Bulgaria (finding)
Ghana 	Ghana 	snomedCT	SNOMEDCT:315432000	Residing in Ghana (finding)
Barbados 	Barbados 	snomedCT	SNOMEDCT:315380003	Residing in Barbados (finding)
Chechnya 	Chechnya 	snomedCT	SNOMEDCT:315402008	Residing in Chechnya (finding)
Slovakia 	Slovakia 	snomedCT	SNOMEDCT:315520001	Residing in Slovakia (finding)
Mauritania 	Mauritania 	snomedCT	SNOMEDCT:315477003	Residing in Mauritania (finding)
Andorra 	Andorra 	snomedCT	SNOMEDCT:315368006	Residing in Andorra (finding)
Ireland 	Ireland 	snomedCT	SNOMEDCT:315448004	Residing in Ireland (finding)
Republic of Ireland 	Republic of Ireland 	snomedCT	SNOMEDCT:315507004	Residing in Republic of Ireland (finding)
Italy 	Italy 	snomedCT	SNOMEDCT:315450007	Residing in Italy (finding)
Thailand 	Thailand 	snomedCT	SNOMEDCT:315540008	Residing in Thailand (finding)
India 	India 	snomedCT	SNOMEDCT:315444002	Residing in India (finding)
Tajikistan 	Tajikistan 	snomedCT	SNOMEDCT:315538003	Residing in Tajikistan (finding)
Pakistan 	Pakistan 	snomedCT	SNOMEDCT:315496004	Residing in Pakistan (finding)
Palestine 	Palestine 	snomedCT	SNOMEDCT:315497008	Residing in Palestine (finding)
Swaziland 	Swaziland 	snomedCT	SNOMEDCT:315533007	Residing in Swaziland (finding)
Ethiopia 	Ethiopia 	snomedCT	SNOMEDCT:315424008	Residing in Ethiopia (finding)
Yugoslavia 	Yugoslavia 	snomedCT	SNOMEDCT:315562008	Residing in Yugoslavia (finding)
Portugal 	Portugal 	snomedCT	SNOMEDCT:315504006	Residing in Portugal (finding)
Togo 	Togo 	snomedCT	SNOMEDCT:315543005	Residing in Togo (finding)
Japan 	Japan 	snomedCT	SNOMEDCT:315453009	Residing in Japan (finding)
Gambia 	Gambia 	snomedCT	SNOMEDCT:315429003	Residing in Gambia (finding)
Guinea Republic 	Guinea Republic 	snomedCT	SNOMEDCT:315437006	Residing in Guinea Republic (finding)
Iraq 	Iraq 	snomedCT	SNOMEDCT:315447009	Residing in Iraq (finding)
Vanuatu 	Vanuatu 	snomedCT	SNOMEDCT:315556003	Residing in Vanuatu (finding)
Bolivia 	Bolivia 	snomedCT	SNOMEDCT:315386009	Residing in Bolivia (finding)
Cape Verde Islands 	Cape Verde Islands 	snomedCT	SNOMEDCT:315399007	Residing in Cape Verde Islands (finding)
Lesotho 	Lesotho 	snomedCT	SNOMEDCT:315464007	Residing in Lesotho (finding)
Dominican Republic 	Dominican Republic 	snomedCT	SNOMEDCT:315416003	Residing in Dominican Republic (finding)
Sao Tome and Principe 	Sao Tome and Principe 	snomedCT	SNOMEDCT:315513008	Residing in Sao Tome and Principe (finding)
Monaco 	Monaco 	snomedCT	SNOMEDCT:315481003	Residing in Monaco (finding)
Slovenia 	Slovenia 	snomedCT	SNOMEDCT:315521002	Residing in Slovenia (finding)
East Timor 	East Timor 	snomedCT	SNOMEDCT:315417007	Residing in East Timor (finding)
France 	France 	snomedCT	SNOMEDCT:315427001	Residing in France (finding)
Mexico 	Mexico 	snomedCT	SNOMEDCT:315479000	Residing in Mexico (finding)
Brazil 	Brazil 	snomedCT	SNOMEDCT:315389002	Residing in Brazil (finding)
Cambodia 	Cambodia 	snomedCT	SNOMEDCT:315396000	Residing in Cambodia (finding)
Solomon Islands 	Solomon Islands 	snomedCT	SNOMEDCT:315522009	Residing in Solomon Islands (finding)
Ukraine 	Ukraine 	snomedCT	SNOMEDCT:315552001	Residing in Ukraine (finding)
Brunei 	Brunei 	snomedCT	SNOMEDCT:315391005	Residing in Brunei (finding)
Liechtenstein 	Liechtenstein 	snomedCT	SNOMEDCT:315467000	Residing in Liechtenstein (finding)
