value_en	description_en	codesystem	code	description_code
Grenada 	Grenada 	snomedCT	SNOMEDCT:315434004	Ethnic origins in Grenada (finding)
Costa Rica 	Costa Rica 	snomedCT	SNOMEDCT:315408007	Ethnic origins in Costa Rica (finding)
Nicaragua 	Nicaragua 	snomedCT	SNOMEDCT:315489001	Ethnic origins in Nicaragua (finding)
El Salvador 	El Salvador 	snomedCT	SNOMEDCT:315420004	Ethnic origins in El Salvador (finding)
Egypt 	Egypt 	snomedCT	SNOMEDCT:315419005	Ethnic origins in Egypt (finding)
Cameroon 	Cameroon 	snomedCT	SNOMEDCT:315397009	Ethnic origins in Cameroon (finding)
Somalia 	Somalia 	snomedCT	SNOMEDCT:315523004	Ethnic origins in Somalia (finding)
Honduras 	Honduras 	snomedCT	SNOMEDCT:315440006	Ethnic origins in Honduras (finding)
Zaire 	Zaire 	snomedCT	SNOMEDCT:315563003	Ethnic origins in Zaire (finding)
Vietnam 	Vietnam 	snomedCT	SNOMEDCT:315559005	Ethnic origins in Vietnam (finding)
Luxembourg 	Luxembourg 	snomedCT	SNOMEDCT:315469002	Ethnic origins in Luxembourg (finding)
Panama 	Panama 	snomedCT	SNOMEDCT:315498003	Ethnic origins in Panama (finding)
Western Samoa 	Western Samoa 	snomedCT	SNOMEDCT:315561001	Ethnic origins in Western Samoa (finding)
Guyana 	Guyana 	snomedCT	SNOMEDCT:315438001	Ethnic origins in Guyana (finding)
Yemen 	Yemen 	snomedCT	SNOMEDCT:315590007	Ethnic origins in Yemen (finding)
Algeria 	Algeria 	snomedCT	SNOMEDCT:315367001	Ethnic origins in Algeria (finding)
Bahamas 	Bahamas 	snomedCT	SNOMEDCT:315377004	Ethnic origins in Bahamas (finding)
Romania 	Romania 	snomedCT	SNOMEDCT:315509001	Ethnic origins in Romania (finding)
Burma 	Burma 	snomedCT	SNOMEDCT:315394002	Ethnic origins in Burma (finding)
Iceland 	Iceland 	snomedCT	SNOMEDCT:315443008	Ethnic origins in Iceland (finding)
Tuvala 	Tuvala 	snomedCT	SNOMEDCT:315549009	Ethnic origins in Tuvala (finding)
China 	China 	snomedCT	SNOMEDCT:315404009	Ethnic origins in China (finding)
Azerbaijan 	Azerbaijan 	snomedCT	SNOMEDCT:315376008	Ethnic origins in Azerbaijan (finding)
Libya 	Libya 	snomedCT	SNOMEDCT:315466009	Ethnic origins in Libya (finding)
Sudan 	Sudan 	snomedCT	SNOMEDCT:315531009	Ethnic origins in Sudan (finding)
South Korea 	South Korea 	snomedCT	SNOMEDCT:315525006	Ethnic origins in South Korea (finding)
Russia 	Russia 	snomedCT	SNOMEDCT:315510006	Ethnic origins in Russia (finding)
Qatar 	Qatar 	snomedCT	SNOMEDCT:315506008	Ethnic origins in Qatar (finding)
