value_en	description_en	codesystem	code	description_code
Tanzania 	Tanzania 	snomedCT	SNOMEDCT:315539006	Born in Tanzania (finding)
Kuwait 	Kuwait 	snomedCT	SNOMEDCT:315459008	Born in Kuwait (finding)
New Zealand 	New Zealand 	snomedCT	SNOMEDCT:315488009	Born in New Zealand (finding)
British Guyana 	British Guyana 	snomedCT	SNOMEDCT:315390006	Born in British Guyana (finding)
Ecuador 	Ecuador 	snomedCT	SNOMEDCT:315418002	Born in Ecuador (finding)
Albania 	Albania 	snomedCT	SNOMEDCT:315366005	Born in Albania (finding)
San Marino 	San Marino 	snomedCT	SNOMEDCT:315512003	Born in San Marino (finding)
Equatorial Guinea 	Equatorial Guinea 	snomedCT	SNOMEDCT:315422007	Born in Equatorial Guinea (finding)
Northern Ireland 	Northern Ireland 	snomedCT	SNOMEDCT:315493007	Born in Northern Ireland (finding)
Democratic People's Republic of Korea 	Democratic People's Republic of Korea 	snomedCT	SNOMEDCT:315413006	Born in Democratic People's Republic of Korea (finding)
Singapore 	Singapore 	snomedCT	SNOMEDCT:315519007	Born in Singapore (finding)
Liberia 	Liberia 	snomedCT	SNOMEDCT:315465008	Born in Liberia (finding)
Wales 	Wales 	snomedCT	SNOMEDCT:315560000	Born in Wales (finding)
Burundi 	Burundi 	snomedCT	SNOMEDCT:315395001	Born in Burundi (finding)
Oman 	Oman 	snomedCT	SNOMEDCT:315495000	Born in Oman (finding)
Rwanda 	Rwanda 	snomedCT	SNOMEDCT:315511005	Born in Rwanda (finding)
Belorussia 	Belorussia 	snomedCT	SNOMEDCT:315383001	Born in Belorussia (finding)
Puerto Rico 	Puerto Rico 	snomedCT	SNOMEDCT:315505007	Born in Puerto Rico (finding)
Fiji 	Fiji 	snomedCT	SNOMEDCT:315425009	Born in Fiji (finding)
Kiribati 	Kiribati 	snomedCT	SNOMEDCT:315457005	Born in Kiribati (finding)
Turkey 	Turkey 	snomedCT	SNOMEDCT:315547006	Born in Turkey (finding)
Senegal 	Senegal 	snomedCT	SNOMEDCT:315516000	Born in Senegal (finding)
Guinea Bissau 	Guinea Bissau 	snomedCT	SNOMEDCT:315436002	Born in Guinea Bissau (finding)
Austria 	Austria 	snomedCT	SNOMEDCT:315375007	Born in Austria (finding)
