codesystem	code	description_code	value_en	description_en
obo	obo:UBERON_0027760	obsolete regional part of superior olive	obsolete regional part of superior olive	obsolete regional part of superior olive
obo	obo:UBERON_0001706	nasal septum	nasal septum	nasal septum
obo	obo:UBERON_0013609	inferior olive medial accessory nucleus	inferior olive medial accessory nucleus	inferior olive medial accessory nucleus
obo	obo:UBERON_2000900	hypaxial region somite 4	hypaxial region somite 4	hypaxial region somite 4
obo	obo:UBERON_0009025	gastroepiploic artery	gastroepiploic artery	gastroepiploic artery
obo	obo:UBERON_0006060	conotruncus	conotruncus	conotruncus
obo	obo:UBERON_0004360	cauda epididymis	cauda epididymis	cauda epididymis
obo	obo:UBERON_0001209	serosa of large intestine	serosa of large intestine	serosa of large intestine
obo	obo:UBERON_0012641	body of tubeworm	body of tubeworm	body of tubeworm
obo	obo:UBERON_0014918	retrosplenial granular cortex	retrosplenial granular cortex	retrosplenial granular cortex
obo	obo:UBERON_2001920	pseudotympanum	pseudotympanum	pseudotympanum
obo	obo:UBERON_3010090	M. tibialis anticus brevis	M. tibialis anticus brevis	M. tibialis anticus brevis
obo	obo:UBERON_2000788	mesenchyme dorsal fin	mesenchyme dorsal fin	mesenchyme dorsal fin
obo	obo:UBERON_2000093	obsolete blastomere	obsolete blastomere	obsolete blastomere
obo	obo:UBERON_0002894	olfactory cortex	olfactory cortex	olfactory cortex
obo	obo:UBERON_4200231	unfinished bone surface	unfinished bone surface	unfinished bone surface
obo	obo:UBERON_0011630	intertemporal bone	intertemporal bone	intertemporal bone
obo	obo:UBERON_0004436	proximal epiphysis of middle phalanx of manual digit 2	proximal epiphysis of middle phalanx of manual digit 2	proximal epiphysis of middle phalanx of manual digit 2
obo	obo:UBERON_0002736	lateral nuclear group of thalamus	lateral nuclear group of thalamus	lateral nuclear group of thalamus
obo	obo:UBERON_2001930	accessory vomerine tooth plate	accessory vomerine tooth plate	accessory vomerine tooth plate
obo	obo:UBERON_0003027	cingulate cortex	cingulate cortex	cingulate cortex
obo	obo:UBERON_0013736	interfascicular linear nucleus	interfascicular linear nucleus	interfascicular linear nucleus
obo	obo:PR_000001003	PR_000001003	PR_000001003	PR_000001003
obo	obo:UBERON_0034923	disconnected anatomical group	disconnected anatomical group	disconnected anatomical group
obo	obo:UBERON_0007842	membrane bone	membrane bone	membrane bone
obo	obo:UBERON_0004615	mammalian cervical vertebra 6	mammalian cervical vertebra 6	mammalian cervical vertebra 6
obo	obo:UBERON_0016502	stomach fundus lumen	stomach fundus lumen	stomach fundus lumen
obo	obo:UBERON_0018608	permanent molar tooth 1	permanent molar tooth 1	permanent molar tooth 1
obo	obo:UBERON_0003989	medulla oblongata anterior median fissure	medulla oblongata anterior median fissure	medulla oblongata anterior median fissure
obo	obo:UBERON_0014802	highest nuchal line attachment site	highest nuchal line attachment site	highest nuchal line attachment site
obo	obo:UBERON_0012072	palatal part of dermatocranium	palatal part of dermatocranium	palatal part of dermatocranium
obo	obo:UBERON_0010372	uncinate process of ethmoid	uncinate process of ethmoid	uncinate process of ethmoid
obo	obo:UBERON_0015790	autopod skin	autopod skin	autopod skin
obo	obo:UBERON_0036303	vasculature of central nervous system	vasculature of central nervous system	vasculature of central nervous system
obo	obo:UBERON_0001639	hepatic portal vein	hepatic portal vein	hepatic portal vein
obo	obo:UBERON_4000122	acellular bone tissue	acellular bone tissue	acellular bone tissue
obo	obo:UBERON_0018393	low-pressure baroreceptor	low-pressure baroreceptor	low-pressure baroreceptor
obo	obo:UBERON_0004350	UBERON_0004350	UBERON_0004350	UBERON_0004350
obo	obo:UBERON_2002244	supraoptic tract	supraoptic tract	supraoptic tract
obo	obo:UBERON_0004116	nerve of tympanic cavity	nerve of tympanic cavity	nerve of tympanic cavity
obo	obo:UBERON_0010684	pedal digit 5 phalanx cartilage element	pedal digit 5 phalanx cartilage element	pedal digit 5 phalanx cartilage element
obo	obo:UBERON_2005010	mid cerebral vein	mid cerebral vein	mid cerebral vein
obo	obo:UBERON_2000984	superior reticular formation tegmentum	superior reticular formation tegmentum	superior reticular formation tegmentum
obo	obo:UBERON_0004790	skin mucous gland	skin mucous gland	skin mucous gland
obo	obo:UBERON_3000678	esophageal process	esophageal process	esophageal process
obo	obo:UBERON_0001757	pinna	pinna	pinna
obo	obo:UBERON_0001062	anatomical entity	anatomical entity	anatomical entity
obo	obo:UBERON_0005379	olfactory bulb internal plexiform layer	olfactory bulb internal plexiform layer	olfactory bulb internal plexiform layer
obo	obo:UBERON_0008785	upper limb segment	upper limb segment	upper limb segment
obo	obo:UBERON_2000214	hypobranchial vessel	hypobranchial vessel	hypobranchial vessel
obo	obo:UBERON_0011620	basihyal lingual process	basihyal lingual process	basihyal lingual process
obo	obo:UBERON_0003223	UBERON_0003223	UBERON_0003223	UBERON_0003223
obo	obo:UBERON_0001523	flexor digitorum profundus	flexor digitorum profundus	flexor digitorum profundus
obo	obo:UBERON_0003918	kidney mesenchyme	kidney mesenchyme	kidney mesenchyme
obo	obo:UBERON_0034729	sympathetic nerve	sympathetic nerve	sympathetic nerve
obo	obo:UBERON_0035974	anteroventral preoptic nucleus	anteroventral preoptic nucleus	anteroventral preoptic nucleus
obo	obo:UBERON_0009114	cervical thymus	cervical thymus	cervical thymus
obo	obo:UBERON_3000796	imbricate neural arch	imbricate neural arch	imbricate neural arch
obo	obo:UBERON_2005000	basal communicating artery	basal communicating artery	basal communicating artery
obo	obo:UBERON_0002277	spiral sulcus	spiral sulcus	spiral sulcus
obo	obo:UBERON_0007801	pygostyle	pygostyle	pygostyle
obo	obo:UBERON_4300218	supraneural 6 element	supraneural 6 element	supraneural 6 element
obo	obo:UBERON_0013277	remnant of processus vaginalis	remnant of processus vaginalis	remnant of processus vaginalis
obo	obo:UBERON_2001265	ovarian follicle stage II	ovarian follicle stage II	ovarian follicle stage II
obo	obo:UBERON_0008286	feather calamus	feather calamus	feather calamus
obo	obo:UBERON_0005683	obsolete telencephalon lateral ventricle	obsolete telencephalon lateral ventricle	obsolete telencephalon lateral ventricle
obo	obo:UBERON_0007383	enveloping layer of ectoderm	enveloping layer of ectoderm	enveloping layer of ectoderm
obo	obo:UBERON_0019286	rhombomere 11	rhombomere 11	rhombomere 11
obo	obo:UBERON_0004274	lateral ventricle choroid plexus epithelium	lateral ventricle choroid plexus epithelium	lateral ventricle choroid plexus epithelium
obo	obo:UBERON_0002846	second thoracic dorsal root ganglion	second thoracic dorsal root ganglion	second thoracic dorsal root ganglion
obo	obo:UBERON_0004546	cribriform plate	cribriform plate	cribriform plate
obo	obo:UBERON_0018149	angle of oral opening	angle of oral opening	angle of oral opening
obo	obo:UBERON_0003137	obsolete antennal segment	obsolete antennal segment	obsolete antennal segment
obo	obo:UBERON_0010721	distal tarsal bone	distal tarsal bone	distal tarsal bone
obo	obo:UBERON_4200162	mesomere 4	mesomere 4	mesomere 4
obo	obo:UBERON_0002000	gluteal muscle	gluteal muscle	gluteal muscle
obo	obo:UBERON_2001547	abdominal scute	abdominal scute	abdominal scute
obo	obo:UBERON_0011695	embryonic cardiovascular system	embryonic cardiovascular system	embryonic cardiovascular system
obo	obo:UBERON_0001953	presubiculum	presubiculum	presubiculum
obo	obo:UBERON_3000841	obsolete capitulum radii	obsolete capitulum radii	obsolete capitulum radii
obo	obo:UBERON_0005369	UBERON_0005369	UBERON_0005369	UBERON_0005369
obo	obo:UBERON_4300102	postcleithral scale	postcleithral scale	postcleithral scale
obo	obo:UBERON_0002856	second lumbar dorsal root ganglion	second lumbar dorsal root ganglion	second lumbar dorsal root ganglion
obo	obo:UBERON_0009662	hindbrain nucleus	hindbrain nucleus	hindbrain nucleus
obo	obo:UBERON_3001007	body granules	body granules	body granules
obo	obo:UBERON_2000941	nucleus of the medial longitudinal fasciculus synencephalon	nucleus of the medial longitudinal fasciculus synencephalon	nucleus of the medial longitudinal fasciculus synencephalon
obo	obo:UBERON_3010704	levator mandibulae longus	levator mandibulae longus	levator mandibulae longus
obo	obo:UBERON_4300097	anal fin spine 1	anal fin spine 1	anal fin spine 1
obo	obo:UBERON_0007844	cartilage element	cartilage element	cartilage element
obo	obo:UBERON_3010286	obsolete chondrocyte	obsolete chondrocyte	obsolete chondrocyte
obo	obo:UBERON_3000992	obsolete principal cavity	obsolete principal cavity	obsolete principal cavity
obo	obo:UBERON_0034719	lip taste bud	lip taste bud	lip taste bud
obo	obo:UBERON_0035520	anterior mediastinal lymph node	anterior mediastinal lymph node	anterior mediastinal lymph node
obo	obo:UBERON_0012298	female urethral crest	female urethral crest	female urethral crest
obo	obo:UBERON_3000798	presacral shield	presacral shield	presacral shield
obo	obo:UBERON_2000898	hypaxial region somite 26	hypaxial region somite 26	hypaxial region somite 26
obo	obo:PR_000002977	PR_000002977	PR_000002977	PR_000002977
obo	obo:UBERON_2002024	mental barbel	mental barbel	mental barbel
obo	obo:UBERON_0016879	future central nervous system	future central nervous system	future central nervous system
obo	obo:UBERON_3010205	postminimus	postminimus	postminimus
obo	obo:UBERON_0005033	mucosa of gallbladder	mucosa of gallbladder	mucosa of gallbladder
obo	obo:UBERON_0002430	lateral hypothalamic area	lateral hypothalamic area	lateral hypothalamic area
obo	obo:UBERON_2000324	caudal periventricular hypothalamus	caudal periventricular hypothalamus	caudal periventricular hypothalamus
obo	obo:UBERON_0001021	nerve	nerve	nerve
obo	obo:PATO_0002045	dendritic	dendritic	dendritic
obo	obo:UBERON_0005728	extraembryonic mesoderm	extraembryonic mesoderm	extraembryonic mesoderm
obo	obo:UBERON_0003333	submucosa of jejunum	submucosa of jejunum	submucosa of jejunum
obo	obo:UBERON_0001298	psoas major muscle	psoas major muscle	psoas major muscle
obo	obo:UBERON_0016612	auditory hillocks, pharyngeal arch 2 derived	auditory hillocks, pharyngeal arch 2 derived	auditory hillocks, pharyngeal arch 2 derived
obo	obo:UBERON_0018312	cheek scale	cheek scale	cheek scale
obo	obo:UBERON_0001182	superior mesenteric artery	superior mesenteric artery	superior mesenteric artery
obo	obo:UBERON_0005799	simplex uterus	simplex uterus	simplex uterus
obo	obo:UBERON_0006865	metaphysis of femur	metaphysis of femur	metaphysis of femur
obo	obo:UBERON_2000442	supraneural bone	supraneural bone	supraneural bone
obo	obo:UBERON_0006170	mesonephric capsule	mesonephric capsule	mesonephric capsule
obo	obo:UBERON_2201587	pectoral fin proximal radial cartilage	pectoral fin proximal radial cartilage	pectoral fin proximal radial cartilage
obo	obo:UBERON_0003019	oral part of ventral posterolateral nucleus	oral part of ventral posterolateral nucleus	oral part of ventral posterolateral nucleus
obo	obo:UBERON_0014451	tongue taste bud	tongue taste bud	tongue taste bud
obo	obo:UBERON_0012303	ureteral orifice	ureteral orifice	ureteral orifice
obo	obo:UBERON_0005612	intercostal artery	intercostal artery	intercostal artery
obo	obo:UBERON_0016924	postductal region of aortic arch	postductal region of aortic arch	postductal region of aortic arch
obo	obo:UBERON_0000085	morula	morula	morula
obo	obo:UBERON_0012494	muscularis mucosae of duodenum	muscularis mucosae of duodenum	muscularis mucosae of duodenum
obo	obo:UBERON_0012101	perinatal stage	perinatal stage	perinatal stage
obo	obo:UBERON_0018508	foramen of nasal bone	foramen of nasal bone	foramen of nasal bone
obo	obo:UBERON_0027113	anterior middle temporal sulcus	anterior middle temporal sulcus	anterior middle temporal sulcus
obo	obo:UBERON_0023378	medullary anterior horn	medullary anterior horn	medullary anterior horn
obo	obo:UBERON_0005191	obsolete cervical artery	obsolete cervical artery	obsolete cervical artery
obo	obo:UBERON_0025078	obsolete regional part of olfactory cortex	obsolete regional part of olfactory cortex	obsolete regional part of olfactory cortex
obo	obo:UBERON_6001648	embryonic imaginal precursor	embryonic imaginal precursor	embryonic imaginal precursor
obo	obo:UBERON_2001657	upper pharyngeal 5 tooth	upper pharyngeal 5 tooth	upper pharyngeal 5 tooth
obo	obo:UBERON_0014763	fused metatarsal bones 2-4	fused metatarsal bones 2-4	fused metatarsal bones 2-4
obo	obo:UBERON_0004666	interventricular septum membranous part	interventricular septum membranous part	interventricular septum membranous part
obo	obo:UBERON_3000909	sulcus proximalis ossis cruris	sulcus proximalis ossis cruris	sulcus proximalis ossis cruris
obo	obo:PATO_0002422	acinar	acinar	acinar
obo	obo:UBERON_0018269	type 2 adrenal tissue	type 2 adrenal tissue	type 2 adrenal tissue
obo	obo:UBERON_3000951	anterior radial	anterior radial	anterior radial
obo	obo:UBERON_0009772	right anterior cardinal vein	right anterior cardinal vein	right anterior cardinal vein
obo	obo:UBERON_0026666	parvicellular subnucleus of solitary tract	parvicellular subnucleus of solitary tract	parvicellular subnucleus of solitary tract
obo	obo:UBERON_0007302	pectoral appendage vasculature	pectoral appendage vasculature	pectoral appendage vasculature
obo	obo:UBERON_0008321	deep artery of penis	deep artery of penis	deep artery of penis
obo	obo:UBERON_0005602	dorsal mesogastrium	dorsal mesogastrium	dorsal mesogastrium
obo	obo:UBERON_6001658	ventral prothoracic disc primordium	ventral prothoracic disc primordium	ventral prothoracic disc primordium
obo	obo:UBERON_0018579	lower second secondary molar tooth	lower second secondary molar tooth	lower second secondary molar tooth
obo	obo:UBERON_0001867	cartilage of external ear	cartilage of external ear	cartilage of external ear
obo	obo:UBERON_0001172	hepatic acinus	hepatic acinus	hepatic acinus
obo	obo:UBERON_0003449	tail intervertebral disc	tail intervertebral disc	tail intervertebral disc
obo	obo:UBERON_0001749	parenchyma of parathyroid gland	parenchyma of parathyroid gland	parenchyma of parathyroid gland
obo	obo:UBERON_0011241	ethmoid region	ethmoid region	ethmoid region
obo	obo:UBERON_3000332	oculomotor foramen	oculomotor foramen	oculomotor foramen
obo	obo:UBERON_0022241	superior thalamic peduncle	superior thalamic peduncle	superior thalamic peduncle
obo	obo:UBERON_6005541	cardiogenic mesoderm	cardiogenic mesoderm	cardiogenic mesoderm
obo	obo:UBERON_0007108	vernix caseosa	vernix caseosa	vernix caseosa
obo	obo:UBERON_0002805	right limbic lobe	right limbic lobe	right limbic lobe
obo	obo:UBERON_0004505	skeletal muscle tissue of orbicularis oculi	skeletal muscle tissue of orbicularis oculi	skeletal muscle tissue of orbicularis oculi
obo	obo:UBERON_0006205	pectineal ligament	pectineal ligament	pectineal ligament
obo	obo:UBERON_0000075	subdivision of skeletal system	subdivision of skeletal system	subdivision of skeletal system
obo	obo:UBERON_0002387	pes	pes	pes
obo	obo:UBERON_2001241	ceratobranchial 3 bone	ceratobranchial 3 bone	ceratobranchial 3 bone
obo	obo:UBERON_0022437	dorsal periolivary nucleus	dorsal periolivary nucleus	dorsal periolivary nucleus
obo	obo:UBERON_0002550	anterior hypothalamic region	anterior hypothalamic region	anterior hypothalamic region
obo	obo:UBERON_0004250	upper arm bone	upper arm bone	upper arm bone
obo	obo:UBERON_0013550	Brodmann (1909) area 19	Brodmann (1909) area 19	Brodmann (1909) area 19
obo	obo:UBERON_0006356	epigastric vein	epigastric vein	epigastric vein
obo	obo:UBERON_0015250	inferior olivary commissure	inferior olivary commissure	inferior olivary commissure
obo	obo:UBERON_0009654	alveolar artery	alveolar artery	alveolar artery
obo	obo:UBERON_0008245	pennate muscle	pennate muscle	pennate muscle
obo	obo:UBERON_0011357	Reissner's fiber	Reissner's fiber	Reissner's fiber
obo	obo:UBERON_2002262	anal fin spine	anal fin spine	anal fin spine
obo	obo:UBERON_0010262	operculum of brain	operculum of brain	operculum of brain
obo	obo:UBERON_4200121	puboischiotibialis muscle	puboischiotibialis muscle	puboischiotibialis muscle
obo	obo:UBERON_0000926	mesoderm	mesoderm	mesoderm
obo	obo:UBERON_0002626	head of caudate nucleus	head of caudate nucleus	head of caudate nucleus
obo	obo:UBERON_0014529	lenticular fasciculus	lenticular fasciculus	lenticular fasciculus
obo	obo:UBERON_0011926	postganglionic sympathetic fiber	postganglionic sympathetic fiber	postganglionic sympathetic fiber
obo	obo:UBERON_0013626	medial metatarsal pad	medial metatarsal pad	medial metatarsal pad
obo	obo:UBERON_0004935	submucosa of cardia of stomach	submucosa of cardia of stomach	submucosa of cardia of stomach
obo	obo:UBERON_0002540	lateral line system	lateral line system	lateral line system
obo	obo:UBERON_3010315	obsolete neuron	obsolete neuron	obsolete neuron
obo	obo:UBERON_0001131	vertebral foramen	vertebral foramen	vertebral foramen
obo	obo:UBERON_0005838	fasciculus of brain	fasciculus of brain	fasciculus of brain
obo	obo:UBERON_0005143	UBERON_0005143	UBERON_0005143	UBERON_0005143
obo	obo:UBERON_0036072	respiratory primordium epithelium	respiratory primordium epithelium	respiratory primordium epithelium
obo	obo:UBERON_0004701	venous system endothelium	venous system endothelium	venous system endothelium
obo	obo:UBERON_0002980	opercular part of inferior frontal gyrus	opercular part of inferior frontal gyrus	opercular part of inferior frontal gyrus
obo	obo:UBERON_0007412	midbrain raphe nuclei	midbrain raphe nuclei	midbrain raphe nuclei
obo	obo:UBERON_2000874	epaxial region somite 7	epaxial region somite 7	epaxial region somite 7
obo	obo:UBERON_0014883	distal epiphysis of distal phalanx of manual digit 3	distal epiphysis of distal phalanx of manual digit 3	distal epiphysis of distal phalanx of manual digit 3
obo	obo:UBERON_0003677	tooth root	tooth root	tooth root
obo	obo:UBERON_0007299	choroid plexus of tectal ventricle	choroid plexus of tectal ventricle	choroid plexus of tectal ventricle
obo	obo:UBERON_4000028	integumentary papilla	integumentary papilla	integumentary papilla
obo	obo:UBERON_0018689	crural feather	crural feather	crural feather
obo	obo:UBERON_0011510	cloacal bursa	cloacal bursa	cloacal bursa
obo	obo:UBERON_0001413	brachial vein	brachial vein	brachial vein
obo	obo:UBERON_0010713	paired fin skeleton	paired fin skeleton	paired fin skeleton
obo	obo:UBERON_0015016	stapes endochondral element	stapes endochondral element	stapes endochondral element
obo	obo:UBERON_2001810	supraorbital sensory canal	supraorbital sensory canal	supraorbital sensory canal
obo	obo:UBERON_2005316	fin fold pectoral fin bud	fin fold pectoral fin bud	fin fold pectoral fin bud
obo	obo:UBERON_0009122	adenohypophyseal placode	adenohypophyseal placode	adenohypophyseal placode
obo	obo:UBERON_2000678	obsolete hair cell anterior macula	obsolete hair cell anterior macula	obsolete hair cell anterior macula
obo	obo:PR_000001954	PR_000001954	PR_000001954	PR_000001954
obo	obo:UBERON_0003569	leg connective tissue	leg connective tissue	leg connective tissue
obo	obo:UBERON_2201818	dorsal fin proximal radial cartilage 1	dorsal fin proximal radial cartilage 1	dorsal fin proximal radial cartilage 1
obo	obo:UBERON_0005269	renal cortex vein	renal cortex vein	renal cortex vein
obo	obo:UBERON_0010252	1st arch mandibular mesenchyme from neural crest	1st arch mandibular mesenchyme from neural crest	1st arch mandibular mesenchyme from neural crest
obo	obo:UBERON_2002252	epural 1	epural 1	epural 1
obo	obo:UBERON_0010947	occipitalis	occipitalis	occipitalis
obo	obo:PR_000001937	PR_000001937	PR_000001937	PR_000001937
obo	obo:UBERON_2202026	pectoral fin proximal radial cartilage 1	pectoral fin proximal radial cartilage 1	pectoral fin proximal radial cartilage 1
obo	obo:UBERON_4000146	transient cartilaginous element	transient cartilaginous element	transient cartilaginous element
obo	obo:UBERON_0003113	dermatocranium	dermatocranium	dermatocranium
obo	obo:UBERON_2001007	obsolete muscle pioneer somite 24	obsolete muscle pioneer somite 24	obsolete muscle pioneer somite 24
obo	obo:UBERON_0006280	polar trophectoderm	polar trophectoderm	polar trophectoderm
obo	obo:UBERON_0011155	Sylvian cistern	Sylvian cistern	Sylvian cistern
obo	obo:UBERON_0014873	distal epiphysis of distal phalanx of pedal digit 3	distal epiphysis of distal phalanx of pedal digit 3	distal epiphysis of distal phalanx of pedal digit 3
obo	obo:UBERON_0026760	inferior sagittal sulcus	inferior sagittal sulcus	inferior sagittal sulcus
obo	obo:UBERON_0016573	obsolete lamina II of gray matter of spinal cord	obsolete lamina II of gray matter of spinal cord	obsolete lamina II of gray matter of spinal cord
obo	obo:UBERON_0001561	subcostal artery	subcostal artery	subcostal artery
obo	obo:UBERON_0004164	branchiomeric muscle	branchiomeric muscle	branchiomeric muscle
obo	obo:UBERON_0009882	anal column	anal column	anal column
obo	obo:UBERON_0003999	hyoid bone body	hyoid bone body	hyoid bone body
obo	obo:UBERON_6000094	clypeo-labral anlage in statu nascendi	clypeo-labral anlage in statu nascendi	clypeo-labral anlage in statu nascendi
obo	obo:UBERON_0035826	left adrenal gland medulla	left adrenal gland medulla	left adrenal gland medulla
obo	obo:PR_000001807	PR_000001807	PR_000001807	PR_000001807
obo	obo:UBERON_0000467	anatomical system	anatomical system	anatomical system
obo	obo:UBERON_0006476	Brodmann (1909) area 33	Brodmann (1909) area 33	Brodmann (1909) area 33
obo	obo:UBERON_3010745	M. coccygeosacralis	M. coccygeosacralis	M. coccygeosacralis
obo	obo:UBERON_2001767	pectoral fin ray 7	pectoral fin ray 7	pectoral fin ray 7
obo	obo:UBERON_0005573	rhombomere 3 floor plate	rhombomere 3 floor plate	rhombomere 3 floor plate
obo	obo:UBERON_0013746	basibranchial element	basibranchial element	basibranchial element
obo	obo:UBERON_0034727	vestibular bulb artery	vestibular bulb artery	vestibular bulb artery
obo	obo:UBERON_0004006	cerebellum intermediate zone	cerebellum intermediate zone	cerebellum intermediate zone
obo	obo:UBERON_0001403	longissimus capitis	longissimus capitis	longissimus capitis
obo	obo:UBERON_0009568	trunk region of vertebral column	trunk region of vertebral column	trunk region of vertebral column
obo	obo:UBERON_0015006	UBERON_0015006	UBERON_0015006	UBERON_0015006
obo	obo:UBERON_0011200	sacrococcygeal symphysis	sacrococcygeal symphysis	sacrococcygeal symphysis
obo	obo:UBERON_4200078	clavicular facet	clavicular facet	clavicular facet
obo	obo:UBERON_3000882	interilial region	interilial region	interilial region
obo	obo:UBERON_2000982	somite 6	somite 6	somite 6
obo	obo:UBERON_0011585	cell condensation	cell condensation	cell condensation
obo	obo:UBERON_0003559	hindbrain arachnoid mater	hindbrain arachnoid mater	hindbrain arachnoid mater
obo	obo:UBERON_0005259	lower leg mesenchyme	lower leg mesenchyme	lower leg mesenchyme
obo	obo:UBERON_0003615	lung elastic tissue	lung elastic tissue	lung elastic tissue
obo	obo:UBERON_0036244	secretion of serous membrane	secretion of serous membrane	secretion of serous membrane
obo	obo:UBERON_0005315	alveolar secondary septum	alveolar secondary septum	alveolar secondary septum
obo	obo:UBERON_0001497	muscle of pelvic girdle	muscle of pelvic girdle	muscle of pelvic girdle
obo	obo:UBERON_0012497	muscularis mucosae of rectum	muscularis mucosae of rectum	muscularis mucosae of rectum
obo	obo:UBERON_0011201	muscle layer of small intestine	muscle layer of small intestine	muscle layer of small intestine
obo	obo:UBERON_2000485	central nucleus inferior lobe	central nucleus inferior lobe	central nucleus inferior lobe
obo	obo:UBERON_2002185	climbing fiber	climbing fiber	climbing fiber
obo	obo:UBERON_0001454	distal tarsal bone 3	distal tarsal bone 3	distal tarsal bone 3
obo	obo:UBERONTEMP_0238a879-c73c-4c7a-953b-9f5cda48db02	UBERONTEMP_0238a879-c73c-4c7a-953b-9f5cda48db02	UBERONTEMP_0238a879-c73c-4c7a-953b-9f5cda48db02	UBERONTEMP_0238a879-c73c-4c7a-953b-9f5cda48db02
obo	obo:UBERON_2001048	obsolete slow muscle cell somite 13	obsolete slow muscle cell somite 13	obsolete slow muscle cell somite 13
obo	obo:UBERON_0035492	inferior hypophysial artery	inferior hypophysial artery	inferior hypophysial artery
obo	obo:UBERON_0005466	UBERON_0005466	UBERON_0005466	UBERON_0005466
obo	obo:UBERON_0014766	right crus of diaphragm	right crus of diaphragm	right crus of diaphragm
obo	obo:UBERON_0004057	skeletal muscle fiber triad	skeletal muscle fiber triad	skeletal muscle fiber triad
obo	obo:UBERON_0016466	antihelix	antihelix	antihelix
obo	obo:UBERON_0011641	odontogenic mesenchyme of molar	odontogenic mesenchyme of molar	odontogenic mesenchyme of molar
obo	obo:UBERON_0008872	UBERON_0008872	UBERON_0008872	UBERON_0008872
obo	obo:UBERON_0015057	scapula endochondral element	scapula endochondral element	scapula endochondral element
obo	obo:UBERON_0035639	ocular adnexa	ocular adnexa	ocular adnexa
obo	obo:UBERON_0006289	rib pre-cartilage condensation	rib pre-cartilage condensation	rib pre-cartilage condensation
obo	obo:UBERON_0005194	thoracic vein	thoracic vein	thoracic vein
obo	obo:UBERON_0004291	heart rudiment	heart rudiment	heart rudiment
obo	obo:UBERON_0002591	oral part of spinal trigeminal nucleus	oral part of spinal trigeminal nucleus	oral part of spinal trigeminal nucleus
obo	obo:UBERON_0001736	submandibular gland	submandibular gland	submandibular gland
obo	obo:UBERON_0013639	mechanical papilla of tongue	mechanical papilla of tongue	mechanical papilla of tongue
obo	obo:UBERON_2000724	obsolete slow muscle cell somite 8	obsolete slow muscle cell somite 8	obsolete slow muscle cell somite 8
obo	obo:UBERON_5003624	manual digit 4 plus metapodial segment	manual digit 4 plus metapodial segment	manual digit 4 plus metapodial segment
obo	obo:UBERON_0011631	tabular bone	tabular bone	tabular bone
obo	obo:UBERON_0012650	gastroduodenal junction	gastroduodenal junction	gastroduodenal junction
obo	obo:UBERON_0017648	ventral body wall	ventral body wall	ventral body wall
obo	obo:UBERON_0026137	annectant gyrus	annectant gyrus	annectant gyrus
obo	obo:UBERON_0006208	auditory hillocks	auditory hillocks	auditory hillocks
obo	obo:UBERON_0002787	decussation of trochlear nerve	decussation of trochlear nerve	decussation of trochlear nerve
obo	obo:UBERON_0002092	brain dura mater	brain dura mater	brain dura mater
obo	obo:UBERON_2001939	inter-basipterygium joint	inter-basipterygium joint	inter-basipterygium joint
obo	obo:UBERON_0003350	epithelium of mucosa	epithelium of mucosa	epithelium of mucosa
obo	obo:UBERON_0001650	hypoglossal nerve	hypoglossal nerve	hypoglossal nerve
obo	obo:UBERON_2001244	epibranchial 5 cartilage	epibranchial 5 cartilage	epibranchial 5 cartilage
obo	obo:UBERON_0004948	submucosa of left main bronchus	submucosa of left main bronchus	submucosa of left main bronchus
obo	obo:UBERON_0006648	adventitia of seminal vesicle	adventitia of seminal vesicle	adventitia of seminal vesicle
obo	obo:UBERON_0004253	skin muscle	skin muscle	skin muscle
obo	obo:UBERON_2001823	epibranchial 4 bone uncinate process	epibranchial 4 bone uncinate process	epibranchial 4 bone uncinate process
obo	obo:UBERON_0013629	hallical pad	hallical pad	hallical pad
obo	obo:UBERON_3000375	palatine process of the pars facialis of the maxilla	palatine process of the pars facialis of the maxilla	palatine process of the pars facialis of the maxilla
obo	obo:UBERON_0010265	mollusc hepatopancreas	mollusc hepatopancreas	mollusc hepatopancreas
obo	obo:UBERON_3010562	suboccular foramen	suboccular foramen	suboccular foramen
obo	obo:UBERON_4200124	sternal trabecula	sternal trabecula	sternal trabecula
obo	obo:UBERON_0000317	colonic mucosa	colonic mucosa	colonic mucosa
obo	obo:UBERON_2000920	obsolete muscle pioneer somite 26	obsolete muscle pioneer somite 26	obsolete muscle pioneer somite 26
obo	obo:UBERON_0015329	respiratory system basement membrane	respiratory system basement membrane	respiratory system basement membrane
obo	obo:UBERON_0013671	nerve ending of of corpus cavernosum maxillaris	nerve ending of of corpus cavernosum maxillaris	nerve ending of of corpus cavernosum maxillaris
obo	obo:UBERON_2001971	parapophysis 4	parapophysis 4	parapophysis 4
obo	obo:UBERON_0008992	chorion frondosum	chorion frondosum	chorion frondosum
obo	obo:UBERON_0016825	dorsal paragigantocellular nucleus	dorsal paragigantocellular nucleus	dorsal paragigantocellular nucleus
obo	obo:PATO_0002182	molecular quality	molecular quality	molecular quality
obo	obo:UBERON_0004938	submucosa of biliary tree	submucosa of biliary tree	submucosa of biliary tree
obo	obo:UBERON_0006638	remnant of urachus	remnant of urachus	remnant of urachus
obo	obo:UBERON_0010695	mesenchyme of tarsal region	mesenchyme of tarsal region	mesenchyme of tarsal region
obo	obo:UBERON_0010577	manual digit 3 phalanx pre-cartilage condensation	manual digit 3 phalanx pre-cartilage condensation	manual digit 3 phalanx pre-cartilage condensation
