codesystem	code	description_code	value_en	description_en
obo	obo:UBERON_0014871	distal epiphysis of distal phalanx of pedal digit 1	distal epiphysis of distal phalanx of pedal digit 1	distal epiphysis of distal phalanx of pedal digit 1
obo	obo:UBERON_0034841	stratum pyramidale of rostral CA3	stratum pyramidale of rostral CA3	stratum pyramidale of rostral CA3
obo	obo:UBERON_0004815	lower respiratory tract epithelium	lower respiratory tract epithelium	lower respiratory tract epithelium
obo	obo:UBERON_0000385	obsolete labial gland	obsolete labial gland	obsolete labial gland
obo	obo:UBERON_0012401	small intestine smooth muscle circular layer	small intestine smooth muscle circular layer	small intestine smooth muscle circular layer
obo	obo:UBERON_0023401	obsolete regional part of spinal cord gray commissure	obsolete regional part of spinal cord gray commissure	obsolete regional part of spinal cord gray commissure
obo	obo:UBERON_2005085	nasal artery	nasal artery	nasal artery
obo	obo:UBERON_0009921	hypophyseal tube	hypophyseal tube	hypophyseal tube
obo	obo:UBERON_0005491	glossopharyngeal neural crest	glossopharyngeal neural crest	glossopharyngeal neural crest
obo	obo:UBERON_2000666	filamental artery	filamental artery	filamental artery
obo	obo:UBERON_2001685	lateral ethmoid-ectopterygoid ligament	lateral ethmoid-ectopterygoid ligament	lateral ethmoid-ectopterygoid ligament
obo	obo:UBERON_0010366	conjunctival vasculature	conjunctival vasculature	conjunctival vasculature
obo	obo:UBERON_2002248	supratemporal commissure	supratemporal commissure	supratemporal commissure
obo	obo:UBERON_2002290	obsolete vitreous	obsolete vitreous	obsolete vitreous
obo	obo:UBERON_0010248	choroidal tapetum fibrosum	choroidal tapetum fibrosum	choroidal tapetum fibrosum
obo	obo:UBERON_0000954	obsolete intestine muscle	obsolete intestine muscle	obsolete intestine muscle
obo	obo:UBERON_0005257	manual digit mesenchyme	manual digit mesenchyme	manual digit mesenchyme
obo	obo:UBERON_0002654	parvicellular part of medial dorsal nucleus	parvicellular part of medial dorsal nucleus	parvicellular part of medial dorsal nucleus
obo	obo:UBERON_0004354	male inguinal canal	male inguinal canal	male inguinal canal
obo	obo:UBERON_0011954	stomach non-glandular region	stomach non-glandular region	stomach non-glandular region
obo	obo:UBERON_0036186	fibroelastic connective tissue	fibroelastic connective tissue	fibroelastic connective tissue
obo	obo:UBERON_0003557	midbrain arachnoid mater	midbrain arachnoid mater	midbrain arachnoid mater
obo	obo:UBERON_0014557	CA1 stratum lacunosum moleculare	CA1 stratum lacunosum moleculare	CA1 stratum lacunosum moleculare
obo	obo:UBERON_0004152	bulbus arteriosus	bulbus arteriosus	bulbus arteriosus
obo	obo:UBERON_0002004	trunk of sciatic nerve	trunk of sciatic nerve	trunk of sciatic nerve
obo	obo:UBERON_0009878	mesopodial skeleton	mesopodial skeleton	mesopodial skeleton
obo	obo:UBERON_0030330	obsolete predominantly gray part of rostral intralaminar nuclei	obsolete predominantly gray part of rostral intralaminar nuclei	obsolete predominantly gray part of rostral intralaminar nuclei
obo	obo:UBERON_0000304	tendon sheath	tendon sheath	tendon sheath
obo	obo:UBERON_3000601	tectum nasi	tectum nasi	tectum nasi
obo	obo:UBERON_0011304	tunicate postabdomen	tunicate postabdomen	tunicate postabdomen
obo	obo:UBERON_2000701	ventral arrector	ventral arrector	ventral arrector
obo	obo:UBERON_0003710	vasa vasorum	vasa vasorum	vasa vasorum
obo	obo:UBERON_0005410	cartilaginous otic capsule	cartilaginous otic capsule	cartilaginous otic capsule
obo	obo:UBERON_0034798	stratum lacunosum-moleculare of caudal CA1	stratum lacunosum-moleculare of caudal CA1	stratum lacunosum-moleculare of caudal CA1
obo	obo:UBERON_0002892	medial amygdaloid nucleus	medial amygdaloid nucleus	medial amygdaloid nucleus
obo	obo:UBERON_0035089	plane of autotomy bisecting joint	plane of autotomy bisecting joint	plane of autotomy bisecting joint
obo	obo:UBERON_0015044	manual digit 2 metacarpus endochondral element	manual digit 2 metacarpus endochondral element	manual digit 2 metacarpus endochondral element
obo	obo:UBERON_2001722	caudal principal ray 10	caudal principal ray 10	caudal principal ray 10
obo	obo:UBERON_0014710	carapacial ridge	carapacial ridge	carapacial ridge
obo	obo:UBERON_0017313	cingulum of lower canine tooth	cingulum of lower canine tooth	cingulum of lower canine tooth
obo	obo:UBERON_0003987	Hassall's corpuscle	Hassall's corpuscle	Hassall's corpuscle
obo	obo:UBERON_0005687	orbitosphenoid cartilage element	orbitosphenoid cartilage element	orbitosphenoid cartilage element
obo	obo:UBERON_0016410	male breast	male breast	male breast
obo	obo:UBERON_4000174	caudal fin lepidotrichium	caudal fin lepidotrichium	caudal fin lepidotrichium
obo	obo:UBERON_0001441	hindlimb skeleton	hindlimb skeleton	hindlimb skeleton
obo	obo:UBERON_0003141	obsolete larval abdomen	obsolete larval abdomen	obsolete larval abdomen
obo	obo:UBERON_0016485	supragingival dental plaque	supragingival dental plaque	supragingival dental plaque
obo	obo:UBERON_0035079	deep intraparotid lymph node	deep intraparotid lymph node	deep intraparotid lymph node
obo	obo:UBERON_0001637	artery	artery	artery
obo	obo:UBERON_0007646	endomeninx	endomeninx	endomeninx
obo	obo:UBERON_0035972	interanterodorsal nucleus of the thalamus	interanterodorsal nucleus of the thalamus	interanterodorsal nucleus of the thalamus
obo	obo:UBERON_0006743	paleodentate of dentate nucleus	paleodentate of dentate nucleus	paleodentate of dentate nucleus
obo	obo:UBERON_0018646	premolar tooth 5	premolar tooth 5	premolar tooth 5
obo	obo:UBERON_0029960	obsolete predominantly gray part of basal amygdaloid nucleus	obsolete predominantly gray part of basal amygdaloid nucleus	obsolete predominantly gray part of basal amygdaloid nucleus
obo	obo:UBERON_2102277	pectoral fin distal radial element 1	pectoral fin distal radial element 1	pectoral fin distal radial element 1
obo	obo:UBERON_2000089	actinotrichium	actinotrichium	actinotrichium
obo	obo:UBERON_0001176	right hepatic duct	right hepatic duct	right hepatic duct
obo	obo:UBERON_0011379	male external urethral sphincter	male external urethral sphincter	male external urethral sphincter
obo	obo:UBERON_0012176	comb	comb	comb
obo	obo:UBERON_2005195	obsolete MiD3cl	obsolete MiD3cl	obsolete MiD3cl
obo	obo:UBERON_3000676	bronchial process	bronchial process	bronchial process
obo	obo:UBERON_0002882	supraspinal nucleus	supraspinal nucleus	supraspinal nucleus
obo	obo:UBERON_0024079	tuberal supraoptic nucleus	tuberal supraoptic nucleus	tuberal supraoptic nucleus
obo	obo:UBERON_0003337	serosa of jejunum	serosa of jejunum	serosa of jejunum
obo	obo:UBERON_2000776	hypaxial region somite 6	hypaxial region somite 6	hypaxial region somite 6
obo	obo:UBERON_0004582	venous system	venous system	venous system
obo	obo:UBERON_0008783	dorsal venous arch	dorsal venous arch	dorsal venous arch
obo	obo:UBERON_6005070	obsolete visceral muscle	obsolete visceral muscle	obsolete visceral muscle
obo	obo:UBERON_0009580	diencephalon mantle layer	diencephalon mantle layer	diencephalon mantle layer
obo	obo:UBERON_2001025	occipital lateral line neuromast	occipital lateral line neuromast	occipital lateral line neuromast
obo	obo:UBERON_6007231	external sensillum	external sensillum	external sensillum
obo	obo:UBERON_0004729	nematode larval stage	nematode larval stage	nematode larval stage
obo	obo:UBERON_0004034	cutaneous microfibril	cutaneous microfibril	cutaneous microfibril
obo	obo:UBERON_0012186	ovary growing follicle	ovary growing follicle	ovary growing follicle
obo	obo:UBERON_2007034	forebrain neural rod	forebrain neural rod	forebrain neural rod
obo	obo:UBERON_0015034	pedal digit 4 phalanx endochondral element	pedal digit 4 phalanx endochondral element	pedal digit 4 phalanx endochondral element
obo	obo:UBERON_0001871	temporal lobe	temporal lobe	temporal lobe
obo	obo:UBERON_4300020	anal fin basal cartilage	anal fin basal cartilage	anal fin basal cartilage
obo	obo:UBERON_0002774	posterior transverse temporal gyrus	posterior transverse temporal gyrus	posterior transverse temporal gyrus
obo	obo:UBERON_0013774	diaphysis of metatarsal bone	diaphysis of metatarsal bone	diaphysis of metatarsal bone
obo	obo:UBERON_0015474	axilla skin	axilla skin	axilla skin
obo	obo:UBERON_2001263	ovarian follicle stage I	ovarian follicle stage I	ovarian follicle stage I
obo	obo:UBERON_0004272	UBERON_0004272	UBERON_0004272	UBERON_0004272
obo	obo:UBERON_6000009	antennal segment	antennal segment	antennal segment
obo	obo:UBERON_0003327	mesenchyme of forearm	mesenchyme of forearm	mesenchyme of forearm
obo	obo:UBERON_0001627	middle cerebral artery	middle cerebral artery	middle cerebral artery
obo	obo:UBERON_3000515	pseudoangular	pseudoangular	pseudoangular
obo	obo:UBERON_0012105	baleen plate	baleen plate	baleen plate
obo	obo:UBERON_2000821	obsolete primary neuron hindbrain	obsolete primary neuron hindbrain	obsolete primary neuron hindbrain
obo	obo:UBERON_6007145	adult protocerebrum	adult protocerebrum	adult protocerebrum
obo	obo:UBERON_0013232	serous acinus	serous acinus	serous acinus
obo	obo:UBERON_0011532	female pubococcygeus muscle	female pubococcygeus muscle	female pubococcygeus muscle
obo	obo:UBERON_2005232	obsolete MCoD	obsolete MCoD	obsolete MCoD
obo	obo:UBERON_0019241	pedal digit 1 or 5	pedal digit 1 or 5	pedal digit 1 or 5
obo	obo:UBERON_3000955	ceratobranchial I	ceratobranchial I	ceratobranchial I
obo	obo:PATO_0000963	opaque	opaque	opaque
